Wavelength,Intensity # Note: second half of data set dropped
3258.3411889971103,1339
3261.5559462450547,1331
3264.7692211993708,1343
3267.9810146280761,1368
3271.1913272987113,1368
3274.4001599783569,1343
3277.6075134336206,1331
3280.8133884306426,1366
3284.0177857351046,1381
3287.2207061122153,1332
3290.42215032672,1364
3293.6221191428904,1319
3296.820613324544,1357
3300.0176336350305,1348
3303.2131808372305,1321
3306.4072556935644,1339
3309.599858965983,1360
3312.7909914159864,1369
3315.9806538045978,1303
3319.1688468923894,1358
3322.3555714394588,1355
3325.5408282054468,1347
3328.7246179495378,1358
3331.9069414304468,1279
3335.0877994064358,1357
3338.2671926353014,1348
3341.4451218743779,1380
3344.6215878805397,1349
3347.7965914102133,1352
3350.9701332193508,1323
3354.1422140634495,1295
3357.3128346975554,1326
3360.4819958762491,1338
3363.6496983536581,1362
3366.815942883446,1322
3369.9807302188274,1332
3373.1440611125563,1332
3376.3059363169305,1355
3379.4663565837855,1368
3382.6253226645185,1345
3385.7828353100485,1376
3388.9388952708614,1329
3392.0935032969737,1371
3395.2466601379565,1351
3398.398366542915,1352
3401.5486232605181,1342
3404.6974310389651,1337
3407.8447906260189,1387
3410.9907027689696,1337
3414.1351682146742,1376
3417.2781877095313,1374
3420.4197619994829,1311
3423.5598918300238,1279
3426.6985779461957,1310
3429.8358210926017,1293
3432.9716220133778,1338
3436.1059814522232,1370
3439.2389001523788,1327
3442.3703788566418,1388
3445.5004183073597,1363
3448.629019246433,1368
3451.7561824153072,1332
3454.8819085549931,1351
3458.0061984060412,1334
3461.1290527085657,1354
3464.2504722022259,1396
3467.3704576262407,1278
3470.4890097193747,1297
3473.6061292199593,1370
3476.7218168658728,1339
3479.8360733945483,1302
3482.9488995429765,1322
3486.0602960477045,1336
3489.1702636448372,1318
3492.2788030700267,1319
3495.3859150584976,1298
3498.491600345018,1293
3501.5958596639193,1293
3504.6986937490874,1329
3507.8001033339697,1302
3510.900089151577,1327
3513.9986519344657,1295
3517.0957924147624,1282
3520.1915113241521,1315
3523.2858093938758,1267
