Wavelength,Intensity # Note: second half of data set dropped
2130.3521445417828,1553
2134.0922210921417,1582
2137.8305386484135,1534
2141.5670981524308,1548
2145.3019005454116,1529
2149.0349467679625,1546
2152.76623776009,1553
2156.4957744611893,1515
2160.2235578100408,1594
2163.9495887448356,1570
2167.6738682031464,1552
2171.3963971219418,1540
2175.1171764375977,1534
2178.8362070858639,1574
2182.5534900019047,1528
2186.269026120277,1558
2189.98281637493,1557
2193.6948616992158,1567
2197.4051630258837,1619
2201.1137212870781,1542
2204.8205374143472,1525
2208.5256123386425,1530
2212.2289469903008,1535
2215.9305422990765,1554
2219.6303991941168,1562
2223.328518603972,1516
2227.0249014565961,1568
2230.7195486793462,1615
2234.4124611989755,1509
2238.1036399416553,1553
2241.7930858329419,1556
2245.4807997978169,1543
2249.1667827606543,1589
2252.8510356452316,1549
2256.5335593747441,1550
2260.2143548717868,1525
2263.8934230583654,1552
2267.5707648558855,1521
2271.246381185163,1545
2274.9202729664394,1537
2278.5924411193373,1567
2282.2628865629085,1483
2285.9316102156117,1580
2289.5986129953126,1521
2293.2638958192947,1522
2296.9274596042378,1605
2300.5893052662504,1566
2304.2494337208518,1536
2307.9078458829645,1583
2311.5645426669325,1543
2315.2195249865108,1545
2318.872793754872,1541
2322.5243498845957,1521
2326.1741942876943,1513
2329.8223278755686,1558
2333.4687515590667,1555
2337.1134662484328,1542
2340.7564728533362,1516
2344.3977722828604,1523
2348.0373654455179,1523
2351.675253249221,1532
2355.3114366013178,1576
2358.9459164085711,1547
2362.5786935771648,1560
2366.2097690127011,1545
2369.8391436202073,1524
2373.4668183041249,1562
2377.0927939683279,1561
2380.7170715161046,1519
2384.3396518501759,1558
2387.9605358726767,1530
2391.5797244851674,1549
2395.1972185886407,1533
2398.8130190835072,1563
2402.4271268696029,1556
2406.0395428461925,1521
2409.6502679119731,1519
2413.2593029650579,1563
2416.8666489029911,1567
2420.4723066227471,1585
2424.0762770207257,1584
2427.6785609927629,1559
2431.2791594341143,1615
2434.878073239468,1569
2438.47530330295,1563
2442.0708505181119,1541
2445.6647157779244,1520
2449.2568999748164,1519
2452.8474040006222,1568
2456.4362287466247,1495
2460.0233751035394,1584
2463.608843961505,1493
2467.192636210104,1533
2470.7747527383508,1563
2474.3551944346927,1525
2477.9339621870131,1536
2481.5110568826331,1573
2485.0864794083118,1574
2488.6602306502409,1529
2492.2323114940482,1511
2495.8027228248011,1526
2499.3714655270123,1565
2502.938540484618,1575
2506.5039485810139,1541
2510.0676906990138,1566
2513.629767720884,1543
2517.1901805283323,1500
2520.7489300025009,1507
2524.3060170239751,1548
2527.8614424727893,1506
2531.4152072284051,1572
2534.9673121697451,1536
2538.5177581751595,1550
2542.0665461224544,1539
2545.6136768888682,1560
2549.1591513510939,1562
2552.7029703852659,1514
2556.245134866962,1562
2559.7856456712088,1546
2563.324503672482,1548
2566.8617097446931,1585
2570.3972647612154,1505
2573.9311695948581,1470
2577.4634251178832,1490
2580.9940322020047,1528
2584.5229917183788,1463
2588.0503045376227,1570
2591.5759715297863,1506
2595.0999935643886,1558
2598.6223715103824,1545
2602.1431062361808,1505
2605.6621986096507,1545
2609.1796494981118,1529
2612.6954597683271,1510
2616.2096302865211,1517
2619.7221619183656,1521
2623.2330555289936,1501
2626.7423119829909,1492
2630.2499321443956,1547
2633.7559168766984,1466
2637.2602670428532,1515
2640.7629835052649,1512
2644.2640671257959,1551
2647.763518765767,1559
